id,namaWisata,rating,kategori,Kategori User,Tautan,Link Gambar
1,Kampoeng Batja (Kampung Baca),4.4,Edukasi,"Pengetahuan, Santai",https://maps.app.goo.gl/XfWLJkkzEkj6N12j7,https://drive.google.com/file/d/1oPQab_u-JGoiVXB0l1PUyAVduJqa1bpe/view?usp=drive_link
2,Waterboom Tiara Park Jember,4.0,Hiburan,"Keluarga, Rekreasi",https://maps.app.goo.gl/iDSqkn74tLKzvFFt6,https://drive.google.com/file/d/1DzB38mqC_-FckgiVBTNxjAjHYRFtIMEA/view?usp=drive_link
3,Sukorambi Botanical Garden,4.3,"Alam, Hiburan","Keluarga, Rekreasi",https://maps.app.goo.gl/Z4z2KawJABFekpJ6A,https://drive.google.com/file/d/1KyuWPIL9HHRyUnnabBcxEZCXfAB8Zc34/view?usp=drive_link
4,Air Terjun Slawu,4.4,"Alam, Petualangan",Petualang,https://maps.app.goo.gl/ZFmEPZ4ENnfXLa2D8,https://drive.google.com/file/d/12o626aVFO_9Pv-Srii7m6Z4-1rPFQCK1/view?usp=drive_link
5,Teluk Love,4.4,"Alam, Pantai, Petualangan",Petualang,https://maps.app.goo.gl/XtPjvgskFLUqeJMe9,https://drive.google.com/file/d/1MGKaetj6QpJ684ZwjNOLND1xtuNlvVYY/view?usp=drive_link
6,Museum Huruf Jember,4.6,Edukasi,"Pengetahuan, Santai, Fotografi",https://maps.app.goo.gl/zhbUNZSCpphLEYC66,https://drive.google.com/file/d/1y1XsfdhRHHBRwm4udZTRC5PFBK2_eQ4O/view?usp=drive_link
7,Museum Tembakau Jember,4.6,Edukasi,"Pengetahuan, Santai, Fotografi",https://maps.app.goo.gl/rderxoqzeaMi2hYC7,https://drive.google.com/file/d/1Y3QokXhaF5drftuWHmOUCEE8g0hlYoya/view?usp=drive_link
8,Green Hill Swimming Pool,4.1,Hiburan,"Keluarga, Santai, Rekreasi",https://maps.app.goo.gl/9vTUDWEcaKrt8dVD9,https://drive.google.com/file/d/1hHh57-vkI4l6J2cghk9crydvYMLItwZa/view?usp=drive_link
9,Pasar Tanjung Water Tower,4.3,Belanja,"Keluarga, Santai",https://maps.app.goo.gl/LSzJLVqrCDtFDaPdA,https://drive.google.com/file/d/15_A0RaCdduVB31eW6ZxeiwINCP17v_ji/view?usp=drive_link
10,Agrowisata Gunung Pasang Jember,4.4,"Alam, Hiburan","Keluarga, Santai, Rekreasi",https://maps.app.goo.gl/cZTxsvDkfMEGs5e16,https://drive.google.com/file/d/1_SUs_RHUNWbn1FCViI0C_5AlEhg-NNZ1/view?usp=sharing
